Framework,Issue ID,Issue Author,Closed By,Labels,Start Date,Close Date,Total Comments,Participants,Assignees
React,27111,morahgeist,github-actions[bot],"['Type: Bug', 'Status: Unconfirmed', 'Resolution: Needs More Information', 'Component: Developer Tools']",2023-07-13 19:01,2023-07-13 19:02,1,1,['morahgeist']
React,27040,smartykarna,hoxyq,[],2023-07-02 7:36,2023-07-04 15:02,2,2,[]
React,27023,EdamAme-x,EdamAme-x,[],2023-06-29 6:51,2023-07-06 13:38,6,3,[]
React,27018,athifbinu,athifbinu,['Status: Unconfirmed'],2023-06-27 11:02,2023-06-28 7:13,0,0,[]
React,27007,gadishimwe,gadishimwe,['Status: Unconfirmed'],2023-06-25 22:52,2023-06-26 11:46,5,2,[]
React,27006,vempadapusrinu45,eps1lon,['Status: Unconfirmed'],2023-06-25 15:41,2023-06-26 16:33,2,2,[]
React,26988,Karim-Muhammad,Karim-Muhammad,['Status: Unconfirmed'],2023-06-21 23:20,2023-07-04 20:33,5,4,[]
React,26978,ddhp,ddhp,['Status: Unconfirmed'],2023-06-20 4:49,2023-06-21 4:47,2,2,[]
React,26976,minaairsupport,minaairsupport,['Status: Unconfirmed'],2023-06-19 20:49,2023-06-25 19:46,1,1,[]
React,26960,YeloPartyHat,YeloPartyHat,['Status: Unconfirmed'],2023-06-16 4:16,2023-06-16 4:17,0,0,[]
React,26953,babycannotsay,babycannotsay,['Status: Unconfirmed'],2023-06-15 2:57,2023-06-15 9:35,10,2,[]
React,26944,DeanLXY,github-actions[bot],"['Type: Bug', 'Status: Unconfirmed', 'Resolution: Needs More Information', 'Component: Developer Tools']",2023-06-14 2:31,2023-06-14 2:31,1,1,['DeanLXY']
React,26934,yairopro,yairopro,['Status: Unconfirmed'],2023-06-13 8:50,2023-06-14 6:36,6,3,[]
React,26931,binaryshrey,binaryshrey,['Status: Unconfirmed'],2023-06-12 17:55,2023-06-12 17:55,0,0,[]
React,26921,PurpleMonkey729,PurpleMonkey729,[],2023-06-11 0:54,2023-06-12 23:59,1,1,[]
React,26899,koyuncuoglum95,koyuncuoglum95,['Status: Unconfirmed'],2023-06-04 23:10,2023-06-23 21:43,4,3,[]
React,26897,jimmywarting,jimmywarting,['Status: Unconfirmed'],2023-06-04 15:10,2023-06-05 14:59,2,2,[]
React,26895,M-r-hydra,github-actions[bot],"['Type: Bug', 'Status: Unconfirmed', 'Resolution: Needs More Information', 'Component: Developer Tools']",2023-06-03 11:29,2023-06-03 11:29,1,1,['M-r-hydra']
React,26882,jonasmarco,jonasmarco,['Status: Unconfirmed'],2023-05-31 21:39,2023-06-01 17:02,0,0,[]
React,26864,awkward-student,awkward-student,['Status: Unconfirmed'],2023-05-27 17:18,2023-05-28 6:55,0,0,[]
